Date,Close_AAPL,Volume_AAPL,Close_SP500,Volume_SP500,Close_NASDAQ,Volume_NASDAQ,ret_AAPL,pct_AAPL,ret_SP500,pct_SP500,ret_NASDAQ,pct_NASDAQ
2020-08-14,111.77256774902344,165565200,3372.85009765625,3200060000,11019.2998046875,3514260000,-0.0008918051846418251,-0.0008914076445826202,-0.00017189739627809786,-0.00017188262276812694,-0.002103201377037678,-0.002100991198777491
2020-08-17,111.4807357788086,119561600,3381.989990234375,3460330000,11129.73046875,3214870000,-0.002614358953016982,-0.0026109444928394954,0.002706177507423746,0.0027098425110787527,0.009971685238514993,0.010021568159487293
2020-08-18,112.40969848632812,105633600,3389.780029296875,3669550000,11210.83984375,3228590000,0.008298416513844664,0.00833294381338412,0.002300740419816094,0.002303389154016955,0.007261205084748923,0.007287631558350771
2020-08-19,112.55073547363281,145538000,3374.85009765625,3679480000,11146.4599609375,3496480000,0.0012538827677426312,0.001254669207406911,-0.004414123345181764,-0.0044043954214108005,-0.005759198232592411,-0.005742645841862681
2020-08-20,115.04820251464844,126907200,3385.510009765625,3431040000,11264.9501953125,4215130000,0.02194709087424407,0.022189699876290048,0.003153654768345504,0.0031586327691348615,0.01057419748384092,0.010630301888693516
2020-08-21,120.9769287109375,338054800,3397.159912109375,3505010000,11311.7998046875,3929290000,0.05024866276137274,0.05153254085420578,0.0034351999829738133,0.0034411070444764214,0.004150258706173915,0.0041588829566681085
2020-08-24,122.42383575439453,345937600,3431.280029296875,3743410000,11379.7197265625,3907310000,0.011889232068908129,0.011960189921123465,0.009993615364901842,0.010043718303008653,0.00598638840538257,0.0060043426375751
2020-08-25,121.41950225830078,211495600,3443.6201171875,3627650000,11466.4697265625,3475280000,-0.008237577319802014,-0.008203741452021074,0.003589899745540137,0.0035963511532906,0.007594300757091332,0.007623210596084284
2020-08-26,123.07067108154297,163022400,3478.72998046875,3780530000,11665.0595703125,3471520000,0.013507241658405,0.013598876560452222,0.010144001344842835,0.010195626139483993,0.017170911662010013,0.017319179179443367
2020-08-27,121.59944915771484,155552400,3484.550048828125,3955890000,11625.33984375,3547400000,-0.012026312444834097,-0.011954285378466323,0.0016716460318093596,0.0016730440109038458,-0.0034108272995911904,-0.003405017035968405
2020-08-28,121.4024887084961,187630000,3508.010009765625,3868510000,11695.6298828125,3012980000,-0.0016210610835445394,-0.001619747873720101,0.006710002849569463,0.00673256535528588,0.006028072823257347,0.006046278217000989
2020-08-31,125.51949310302734,225702700,3500.31005859375,4348280000,11775.4599609375,3612050000,0.0333496915552276,0.03391202633758805,-0.0021973751755091087,-0.0021949627140287475,0.006802443899218247,0.0068256330719147496
2020-09-01,130.51925659179688,151948100,3526.64990234375,4101490000,11939.669921875,3511060000,0.03905970592674013,0.03983256596380369,0.007496831420706229,0.007525003016613407,0.013848761208684834,0.013945099510527026
2020-09-02,127.81510925292969,200119000,3580.840087890625,4295640000,12056.4404296875,3982360000,-0.02093601524563482,-0.020718378341094135,0.015249050143870235,0.015365910154807594,0.00973252980000261,0.009780044890400408
2020-09-03,117.58212280273438,257599600,3455.06005859375,4911830000,11458.099609375,4465010000,-0.08344775379636982,-0.0800608512562122,-0.03575759414218638,-0.03512584371534122,-0.050902123264931376,-0.04962831474198304
2020-09-04,117.65995025634766,332607200,3426.9599609375,4438720000,11313.1298828125,4284440000,0.0006616797364582538,0.0006618986947859451,-0.008166280754274169,-0.008133027264274895,-0.012732881658742201,-0.012652161484430269
